surname of groom,GROOM_FATHER_IDENTITY,if bride's father deceased,month,marital status of groom,BRIDE_IDENTITY,if bride's mother deceased,GROOM_IDENTITY,bride's mother's forename,year,GROOM_BIRTH_RECORD_IDENTITY,BRIDE_FATHER_BIRTH_RECORD_IDENTITY,address of groom,groom's father's surname,groom's mother's maiden surname,bride's father's surname,day,if groom's father deceased,surname of bride,gdeath,notes1,address of bride,BRIDE_MOTHER_BIRTH_RECORD_IDENTITY,if groom's mother deceased,BRIDE_FATHER_IDENTITY,age of groom,groom's mother's forename,age of bride,occupation of groom,bride's father's forename,groom's father's occupation,forename of groom,GROOM_FATHER_BIRTH_RECORD_IDENTITY,ID,bride's father's occupation,groom's father's forename,bride's mother's maiden surname,bdeath,forename of bride,GROOM_MOTHER_IDENTITY,place of marriage,BRIDE_BIRTH_RECORD_IDENTITY,occupation of bride,marital status of bride,BRIDE_MOTHER_IDENTITY,GROOM_MOTHER_BIRTH_RECORD_IDENTITY
Szabo,4183,,APRIL,B,5942,,5217,Ella,1952,5217,5940,"1 Loch Park Road, Target Stables, Hawick",Szabo,WILLIAMS,White,30,,White,5217,SYNTHETIC DATA PRODUCED USING VALIPOP,"67 Baile na Cille, Na h-Eileanan Siar",5941,,5940,28,Jane,16,FISHERMAN,Tobias,SILK MERCER,Hugh,4183,1804,WEAVER (COTTON),John,Lopez,5942,Camille,4336,Girvan South Ayrshire,5942,SCHOLAR,S,5941,4336
Iliev,4304,,APRIL,B,5564,,5572,Sofie,1953,5572,5558,"3 Pairc Uilleim, Highland",Iliev,Morales,Jansen,28,,Jansen,5572,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Langside Court, Kirkfield, Bothwell",5559,,5558,18,Dorina,32,SCHOLAR,Alejandro,RETIRED SERV,David,4304,1809,COTTON WEAVER,Patrick,Becker,5564,Lisa,4441,Aberdeenshire,5564, ,S,5559,4441
Sahin,6135,,MARCH,B,5024,,6137,Catherine,1953,6137,4011,"1 Cowdenknowes House, Scottish Borders",Sahin,,Santos,11,,Santos,6137,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Meadows Place, Lochgilphead, Argyll and Bute",4026,,4011,29,Sara,32, ,Louis, ,Thijs,6135,1810,RAILWAY LABOURER,David,Prochazka,5024,Mary,6136,Dalry North Ayrshire,5024,BASKET H BEEHIVE MAKERS DAUR,S,4026,6136
Krajnc,4477,,APRIL,B,5250,,5333,Louise,1953,5333,3905,"100 Seton Place, Dalgety Bay, Fife",Krajnc,Visser,Hernandez,25,,Hernandez,5333,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Home Farm Place, Portree, Highland",4028,,3905,24,Mary,26,UNDERTAKER,William,TAILOR,Jacob,4477,1811,AG LAB,Vytautas,Soto,5250,Margaret,4006,Belhaven Dunbar ,5250,PAPER STAINER,S,4028,4006
Maisuradze,4673,,SEPTEMBER,B,5524,,5545,Elzbieta,1953,5545,3937,"1 Fullarton Avenue, South Ayrshire",Maisuradze,Nguyen,Soto,28,,Soto,5545,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Pairc Uilleim, Highland",4680,,3937,20,Jessie,20,SCHOLAR,James,LABOURER,William,4673,1815,COOPER,Alexr,Juric,5524,Elizabeth,4658,Aberdeenshire,5524,TENANT'S DAUGHTER,S,4680,4658
Bonik,4331,,AUGUST,B,5544,,5269,Isabella,1953,5269,4675,"1 Torrie Wyne, Fife",Bonik,Soto,Brown,26,,Brown,5269,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Merrick Terrace, Dumfries and Galloway",4662,,4675,27,Barbara,20,CALICO PRINTER,Andrew,FISHERMAN,James,4331,1816,SHOEMAKER,Archd,Larsson,5544,Elizabeth,4500,Hillpark Bannockburn ,5544,SCHOLAR,S,4662,4500
Jones,4163,,NOVEMBER,B,5758,,5597,Maria,1953,5597,5193,"1 Jean Lawrie Court, Lessudden House, Scottish Borders",Jones,Harutyunyan,De Vries,26,,De Vries,5597,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Lagrannoch Drive, Braeleny Farm, Stirling",5439,,5193,20,Christina,16,SMITH'S SON,Viktor,AG LAB & ARTY PENSIONER,William,4163,1817,DELF DEALER,Frances,Savic,5758,Cathrine,4738,South Ayrshire,5758,SCHOLAR,S,5439,4738
Pena,4411,,MARCH,B,5760,,4905,Grace,1953,4905,4665,"41 Ard Struan Road, Highland",Pena,Kovacevic,Wozniak,29,,Wozniak,4905,SYNTHETIC DATA PRODUCED USING VALIPOP,"3 Ceann An Ora, Na h-Eileanan Siar",4934,,4665,37,Mary,16,AG LAB,David,TAILOR,James,4411,1818,GENERAL LABOURER,Simon,Harutyunyan,5760,Mary,4098,Stotfield Lossiemouth ,5760,SCHOLAR,S,4934,4098
Grigoryan,4725,,JUNE,D,5248,,4977,Irena,1954,4977,4059,"2 Coplandhill, Aberdeenshire",Grigoryan,Kovacevic,Mohamed,28,,Mohamed,4977,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Woodland Park, Highland",4347,,4059,37,Hellen,31,BOOK KEEPER TO VENETIAN BLIND MAKER,Andrew,FORMERLY MASON'S LABOURER,Thomas,4725,1824,LAB,Yusuf,Harris,5248,Marion,3972,,5248,GROSER & SPIRIT DEALER,S,4347,3972
Smith,1673,,JANUARY,B,2334,,2391,Margt,1863,2391,1679,"2 Crosbie Road, Troon, South Ayrshire",Smith,Schroeder,Harutyunyan,18,,Harutyunyan,2391,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Union Street, Scottish Borders",1668,,1679,28,Jeannie,30,STUDENT OF MEDICINE (EDINBURGH UNIVERSITY),Adam,MANAGER OF A COAL PIT,Thomas,1673,857,CROFTER,Samuel,COWLEY,2334,Ann,1836,Scaurs Jedburgh ,2334,SEAMSTRESS,W,1668,1836
Gauthier,5356,,JANUARY,B,5464,,5361,Catherine,1954,5361,4757,"1 Dee Terrace, Little Earnock, South Lanarkshire",Gauthier,Dimitrov,Markovic,11,,Markovic,5361,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Jones Street, Fife",4492,,4757,36,Anna,21,SILK & WOOLEN WEAVER,Emre,COTTAR,Jacob,5356,1826,DRAPER,Aaron,Bonik,5464,Margaret,5357,Belhaven East Lothian,5464,DOMESTIC SERV,S,4492,5357
Demir,4299,,APRIL,B,5500,,5529,Annie,1954,5529,4493,"146 Brownsmuir Park, Harryburn House, Lauder",Demir,Popa,Dumitru,13,,Dumitru,5529,SYNTHETIC DATA PRODUCED USING VALIPOP,"2 Haughead, Scottish Borders",4538,,4493,23,Aada,24,ARCHITECT'S ASSISTANT,Malcolm,LABORER,James,4299,1827,BASKET MAKER (JOURNEYMAN),John,Prochazka,5500,Mary,5005,Stewarton East Ayrshire,5500, ,W,4538,5005
Rojas,5798,,AUGUST,B,5528,,5802,Mary,1954,5802,4884,"1 Selvage Place, Rosyth, Fife",Rojas,Bouchard,Kuznetsov,16,,Kuznetsov,5802,SYNTHETIC DATA PRODUCED USING VALIPOP,"2 Mansefield, Auchreoch, Stirling",4292,,4884,19,Maria,18,SCHOLAR,Ethan,COTTON YARN TWISTER,Ren,5798,1828,CARTER,Alexander,Jones,5528,Elspeth,5799,Hillpark Bannockburn ,5528,SCHOLAR,S,4292,5799
Bonik,4331,,FEBRUARY,B,5526,,5353,Agnieszka,1954,5353,4723,"1 Torrie Wyne, Fife",Bonik,Soto,Grigoryan,20,,Grigoryan,5353,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 South Street, Lodge, Scottish Borders",4924,,4723,24,Barbara,19,HAIRDRESSER,Luca,FISHERMAN,James,4331,1829,PLOUGHMAN,Archd,White,5526,Annie,4500,Berryhill Strathaven ,5526,DOMESTIC SERV GIRLS,S,4924,4500
Wozniak,6326,,APRIL,D,5630,,6328,Sofie,1954,6328,5558,"1 Ridgeway Grove, Bridge of Don, Aberdeen City",Wozniak,,Jansen,17,,Jansen,6328,SYNTHETIC DATA PRODUCED USING VALIPOP,"39 Redmire Crescent, Heatherknowe, Portlethen",5559,,5558,28,Mathilde,21, ,Alejandro, ,Eetu,6326,1830,PLOUGHMAN,Julian,Becker,5630,Marion,6327,,5630,DOMESTIC SERVANT,S,5559,6327
Szabo,3969,,AUGUST,B,5182,,5215,Jane,1955,5215,4125,"2 Prestonfield Road, Annan, Dumfries and Galloway",Szabo,Grigoryan,de Boer,28,,de Boer,5215,SYNTHETIC DATA PRODUCED USING VALIPOP,"2 Pairc Uilleim, Highland",4258,,4125,30,Manon,30,BREWERY CLERK,Andrew,CARTER,Robert,3969,1838,JOINER,Alfred,Prochazka,5182,Grace,4721,Dumfries and Galloway,5182,WINDER,S,4258,4721
Greco,4232,,AUGUST,B,5561,,5593,Sofie,1955,5593,5558,"1 Ramsay Terrace, Tillicoultry, Clackmannanshire",Greco,Hansen,Jansen,27,,Jansen,5593,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Gowanlea, The Lees, Coldstream",5559,,5558,21,Mary,27,BLACKSMITH'S,Alejandro,LABOURER (ALUM WORK),John,4232,1839,PLOUGHMAN,John,Becker,5561,Laura,4528,Dalry North Ayrshire,5561,POWER LOOM COTTON WEAVER,W,5559,4528
Andersson,5831,,MAY,B,5328,,5837,Margaret,1955,5837,4135,"97 St Fillans Road, St Mary's, Dundee City",Andersson,Hernandez,Markovic,13,,Markovic,5837,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Church Drive, South Ayrshire",3882,,4135,25,Ugne,26,COTTON WEAVER,William, ,Ren,5831,1840,MERCHANT & FARMER,Bence,Prochazka,5328,Jane,5832,Allanbank Lauder ,5328,HOUSEHOLD DUTIES,S,3882,5832
Prochazka,3909,,OCTOBER,B,5390,,5133,Catherine,1955,5133,4757,"1 Northbank Farm Steadings, St Andrews, Fife",Prochazka,Novak,Markovic,24,,Markovic,5133,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Jones Street, Fife",4492,,4757,31,Christina,25,CHEMICAL LABOURER,Emre,MESSENGER,John,3909,1841,DRAPER,James,Bonik,5390,Margeret,3908,Belhaven Dunbar ,5390,QUILTER,S,4492,3908
Kuznetsov,4885,,AUGUST,B,5540,,5625,Isabella,1955,5625,4589,"1 The Avenue, Three Bridges, Inveraray",Kuznetsov,Schmid,Smith,30,,Smith,5625,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Calderpark Road, Baillieston, Glasgow City",4568,,4589,17,Nanami,19,SCHOLAR,Peter,FARMER,Duncan,4885,1842,SOLDIER,Alexander,Rossi,5540,Margaret,5040,North Williamwood East Renfrewshire,5540,SCHOLAR,S,4568,5040
Navarro,6252,,AUGUST,B,6111,,6256,Maria,1970,6256,4799,"1 Wishaw Terrace, Craigentinny/Meadowbank, City of Edinburgh",Navarro,Olsson,Santana,28,,Santana,6256,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Fairways, Abbotsmeadow, Melrose",4753,,4799,25,Clara,21,PLOUGHMAN,Andrew,SILK WEAVER,Gergo,6252,2058,CARTER,William,Markovic,6111,Margaret,6253,Maybole South Ayrshire,6111,DOMESTIC SERV,S,4753,6253
Schroeder,1857,,JANUARY,B,2428,,2693,Ana,1864,2693,2425,"1 Orchard Park, Lessudden House, Scottish Borders",Schroeder,Brankov,Jones,8,,Jones,2693,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Orchard Park, Lessudden House, Scottish Borders",2426,,2425,21,Ava,40,LETTER PRESS PRINTER,Thomas,TANNER,John,1857,862,MINISTER OF THE FREE CHURCH STENNIS,Thomas,Ursu,2428,Michela,2217,,2428, ,W,2426,2217
Moreau,5276,,AUGUST,B,6021,,5278,Anna,1955,5278,6017,"1 Kirk Road, Stane, Shotts",Moreau,Ivanovic,Perez,30,,Perez,5278,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Auchenbothie Place, Robroyston, Glasgow City",6018,,6017,27,Grace,20,AG LAB,Julen, ,William,5276,1843,AG LAB,Lucas,Horak,6021,Telma,5277,Cowdenbeath Fife,6021,GENERAL SERVANT,S,6018,5277
Kovacevic,4310,,JANUARY,B,5638,,5385,Elisabeth,1955,5385,4549,"1 Peelnick, Scottish Borders",Kovacevic,Bonik,Williams,7,,Williams,5385,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Girnick, Scottish Borders",4668,,4549,23,Janet,17,STUDENT OF MEDICINE,Miguel,FIREMAN LEITH GLASS WORKS,John,4310,1844,TRADESMANS CLERK,Robert,Schroeder,5638,Isabella,4422,Girvan South Ayrshire,5638,SCHOLAR,S,4668,4422
Bogdanov,5316,,JUNE,B,5716,,5531,Mary,1955,5531,4495,"33 Birnie Place, Moray",Bogdanov,Azoulay,Nguyen,14,,Nguyen,5531,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Middleshade Road, Northbank Farm Steadings, St Andrews",4572,,4495,20,Anna,16,SCHOLAR,Thomas, ,Willia,5316,1845,LABOURER,Thomas,Sanchez,5716,Helen,5317,Argyll and Bute,5716,SCHOLAR,S,4572,5317
Azoulay,5772,,SEPTEMBER,B,5706,,5774,Marta,1955,5774,4293,"1 Campbell's Close, Canongate, City of Edinburgh",Azoulay,,Andersson,15,,Andersson,5774,SYNTHETIC DATA PRODUCED USING VALIPOP,"11 Brodick Avenue, Kilwinning, North Ayrshire",4722,,4293,26,Reka,18,AGRICULTURAL LABOURER,John, ,Theo,5772,1846,COTTON WEAVER,Samuel,Grigoryan,5706,Janet,5773,Weensmoore Scottish Borders,5706, ,S,4722,5773
Jones,4453,,SEPTEMBER,B,5852,,5635,Mary,1955,5635,4755,"2 Scaurs, Jedburgh, Scottish Borders",Jones,Prochazka,Markovic,4,,Markovic,5635,SYNTHETIC DATA PRODUCED USING VALIPOP,"2 Scaurs, Jedburgh, Scottish Borders",4814,,4755,31,Mary,25,LABOURER RT HEADSMAN,Markus,AG LABOURER,James,4453,1847,FORMERLY CORK CUTTER,Samuel,Huseynov,5852,Mary,4608,,5852,BLEACHER,S,4814,4608
Smith,4558,,FEBRUARY,B,5336,,5505,Ruth,1956,5505,3947,"1 Mid Lane, Perth and Kinross",Smith,Prochazka,Wozniak,17,,Wozniak,5505,SYNTHETIC DATA PRODUCED USING VALIPOP,"34 Gordon Brown Place, Highland",4032,,3947,23,Eva,26,COOPER,George,LABOURER,James,4558,1857,FARMER OF 672 ACRES,James,Anderson,5336,Ann,4742,Northbank Farm Steadings Fife,5336,UPHOLSTERESS,D,4032,4742
Flores,4247,,MAY,B,5330,,5147,Jeanie,1956,5147,4021,"1 Bargrennan Road, South Ayrshire",Flores,Dumitru,Petrauskas,24,,Petrauskas,5147,SYNTHETIC DATA PRODUCED USING VALIPOP,"219 Kepplestone Gardens, Seafield, Aberdeen City",3872,,4021,32,Ann,26,SHOEMAKER EMPLOYING 4 MEN,Donald,SEED CLERK,David,4247,1858,CATTLE MAN,Thomas,Szabo,5330,Isabella,4180,Highland,5330,SHOP KEEPER,D,3872,4180
Santos,4011,,AUGUST,B,5376,,5371,Agnieszka,1956,5371,4723,"1 Meadows Place, Lochgilphead, Argyll and Bute",Santos,Prochazka,Grigoryan,21,,Grigoryan,5371,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 South Street, Lodge, Scottish Borders",4924,,4723,26,Catherine,25,ENGINE SMITH,Luca,RAILWAY LABOURER,Henry,4011,1859,AGRICUL LABOURER,Louis,White,5376,Mary,4026,Whitehills East Kilbride ,5376,HOUSE KEEPER,S,4924,4026
Garcia,4263,,SEPTEMBER,B,5460,,5623,Isabella,1956,5623,4187,"1591 Castle Road, South Ayrshire",Garcia,Bonik,Szabo,14,,Szabo,5623,SYNTHETIC DATA PRODUCED USING VALIPOP,"2 Grubbit Mill, Scottish Borders",4428,,4187,19,Mary,24, ,James,COAL MINER,James,4263,1860,FARMER OF 850 ACRES (EMPLOYING 6 MEN & ONE BOY,James,Visser,5460,Annie,4288,South Ayrshire,5460,PINNER (LINEN),S,4428,4288
Krajnc,4474,,OCTOBER,B,5496,,5457,Isabel,1956,5457,4185,"1 Allanbank, Lauder, Scottish Borders",Krajnc,Santana,Prochazka,17,,Prochazka,5457,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Robertson Way, Braeleny Farm, Stirling",4417,,4185,24,Elizabeth,24,CHEMIST & DRUGGIST'S APPRENTICE,Archibald,GROCER,Willia,4474,1861,HOUSE KEEPER,Tobias,Harris,5496,Elizabeth,4314,Rummond Fife,5496,WAREHOUSE WORKER,S,4417,4314
CONLLY,1795,,JULY,B,2670,,2339,Jane,1864,2339,2495,"2 Scaurs, Jedburgh, Scottish Borders",CONLLY,Martinez,Soto,3,,Soto,2339,SYNTHETIC DATA PRODUCED USING VALIPOP,"2 Scaurs, Jedburgh, Scottish Borders",1948,,2495,33,Janet,22,PLOUGHMAN,Michael,DRESS MAKER & GILDER,Richard,1795,864,GARDNER,Neil,Grech,2670,Annie,1720,,2670, ,S,1948,1720
de Boer,4057,,OCTOBER,B,5485,,5305,Laura,1956,5305,5432,"1 Ashgrove Avenue, Maybole, South Ayrshire",de Boer,Wozniak,Savic,16,,Savic,5305,SYNTHETIC DATA PRODUCED USING VALIPOP,"480 Braal Castle Road, Caithness",5433,,5432,28,Margaret,24, ,Peter,LAST MAKER,George,4057,1862,FARMER OF 80 ACRES,James,de Boer,5485,Jemima,4462,Whinnyhouse Scottish Borders,5485,DOMESTIC SERVANT,S,5433,4462
Ilves,6376,,SEPTEMBER,B,5490,,6379,Jane,1956,6379,4125,"1 Linlithgow Bridge, Linlithgow, West Lothian",Ilves,Garcia,de Boer,27,,de Boer,6379,SYNTHETIC DATA PRODUCED USING VALIPOP,"2 Pairc Uilleim, Highland",4258,,4125,34,Alessia,24, ,Andrew, ,William,6376,1863,JOINER,Andrew,Prochazka,5490,Isabella,6377,Espieside Coatbridge ,5490, ,S,4258,6377
Santos,4011,,JANUARY,B,5546,,5703,Betsy,1956,5703,4537,"1 Meadows Place, Lochgilphead, Argyll and Bute",Santos,Prochazka,Tkachenko,20,,Tkachenko,5703,SYNTHETIC DATA PRODUCED USING VALIPOP,"2 Haughead, Scottish Borders",4670,,4537,18,Catherine,22, ,Peter,RAILWAY LABOURER,Robert,4011,1864,LABOURER,Louis,Sanchez,5546,Sarah,4026,Masterton Dunfermline ,5546,BOOKFOLDER,S,4670,4026
Wil,5187,,APRIL,B,5557,,5571,Jessica,1956,5571,5555,"1 Farnell Way, Bellyeoman, Dunfermline",De Vries,Davis,Tanaka,22,,Tanaka,5571,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Beeches Road, Parkhall, West Dunbartonshire",5556,,5555,21,L,?2,TIN SMITH (AP),Gabriel,TAILOR,De Vries,5187,1865, ,Juho,,5557,Mary Grace,5188,Woodlands Falkirk,5557,SEAMAN'S DAUR,S,5556,5188
Rossi,6062,,NOVEMBER,B,5766,,6066,Aada,1956,6066,5763,"1 Broadsea, Fraserburgh, Aberdeenshire",Rossi,Martinez,Memmedov,27,,Memmedov,6066,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Hillside Crescent South, Newbattle, Gorebridge",5764,,5763,19,Mary Anne,21,SCHOLAR,Josef, ,Samuel,6062,1866,BUILDER EMPLOYING OF 3 MAN,Victor,Wong,5766,Laura,6063,Whitehills East Kilbride ,5766, ,S,5764,6063
Muratovic,5111,,APRIL,B,5678,,5421,Elizabeth,1956,5421,4569,"43 Duntaylor Avenue, Aberfeldy, Perth and Kinross",Muratovic,Hansen,Jimenez,10,,Jimenez,5421,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Kinloch Road, Waterside, Aberdeenshire",4704,,4569,24,Christina,18,LABOURER,John,COACH MAKER,James,5111,1867,FARMER'S SON,Bence,Flores,5678,Janet,4340,Aberdeenshire,5678,SCHOLAR,S,4704,4340
Szabo,4187,,JANUARY,B,5680,,5423,Christina,1956,5423,4713,"2 Grubbit Mill, Scottish Borders",Szabo,Visser,Sanchez,25,,Sanchez,5423,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Jean Lawrie Court, Lessudden House, Scottish Borders",4738,,4713,24,Isabella,18,DRAPER ASISTENT,Thomas,TAILOR,John,4187,1868,COTTON WEAVER,James,Harutyunyan,5680,Mary,4428,South Ayrshire,5680,SCHOLAR,S,4738,4428
Savic,5440,,NOVEMBER,B,5096,,5681,Marion,1957,5681,4225,"1 Kennels Road, Annan, Dumfries and Galloway",Savic,Maisuradze,Dumitru,2,,Dumitru,5681,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Almanythie Road, Roanheads, Peterhead",4132,,4225,23,Margt,36,MOULDER (IRON),Robert,QUARREYMAN,George,5440,1873,GATE KEEPER COTTON FACTORY,Tomas,Larsson,5096,Catherine,4812,Stranraer Dumfries and Galloway,5096,MILL WORKER,W,4132,4812
Ramirez,5401,,NOVEMBER,B,6054,,5627,Agnieszka,1957,5627,6052,"1 Crofts Court, Ninewells North Lodge, Scottish Borders",Ramirez,Carvalho,Ivanov,13,,Ivanov,5627,SYNTHETIC DATA PRODUCED USING VALIPOP,"87 The Oval, Marnock, North Lanarkshire",6053,,6052,21,Mary,19,COOPER (JOURNEYMAN),Cameron, ,Richard,5401,1874,SHOEMAKER,Jack,Ozols,6054,Dorina,4402,Berryhill Strathaven ,6054,SCHOLAR,S,6053,4402
Calderon,6440,,SEPTEMBER,S,5728,,6442,Jeannet,1957,6442,4635,"1 Merkland, East Dunbartonshire",Mattia,Smirnov,Robert,21,,Brown,6442,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Hillhead, Scottish Borders",4763,,4635,23,G,19, ,Brown, ,Mantas,6440,1875,AG LAB,Calderon,WILLIAMS,5728,Jemina,6441,Swinton Dee Scottish Borders,5728,SCHOLAR,S,4763,6441
Markovic,1512,,MARCH,B,2798,,2438,Jessie,1864,2438,2157,"1 Carnegie Place, Coplandhill, Aberdeenshire",Markovic,GOODWIN,Celik,29,missing,Celik,2438,SYNTHETIC DATA PRODUCED USING VALIPOP,"65 Lomond, Whitehills, East Kilbride",2024,,2157,28,Jean,16,CARPENTER (JOURNEYMAN),Davit,SHOEMAKER (EMPLOYING 1 MAN),Alexander,1512,866,LABOURER IN A POTTERY,Mattew,Larsen,2798,Annie,1438,Allanbank Lauder ,2798,SCHOLAR,S,2024,1438
Hernandez,3933,,JANUARY,D,5722,,5199,Soto,1957,5199,4845,"1 Stewart Crescent, Burnt Hill, Caithness",Hernandez,Kiss,Alexander,7,,Santos,5199,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Oldwick Road, Pulteneytown, Wick",4664,,4845,missing,C,32,AG LAB,Santos,FARMER OF 75 ACRES,Thomas,3933,1876,FARMER 90 ACRES (q SERVTS),Thomas,Jane,5722,Lillias,3944,,5722,CROFTERS WIFE,S,4664,3944
Tkachenko,4037,,JANUARY,W,5708,,5251,Anna,1957,5251,5316,"2 Milfield Gardens, Scaurs, Jedburgh",Tkachenko,Sanchez,Bogdanov,3,,Bogdanov,5251,SYNTHETIC DATA PRODUCED USING VALIPOP,"33 Birnie Place, Moray",5317,,5316,32,Jane,21,GROCER & COAL AGENT,Thomas,CROFTER OF 12 ACRES,Charles,4037,1877, ,Tiago,Azoulay,5708,Mary,4094,North Ayrshire,5708,POWER LOOM COTTON WEAVER,S,5317,4094
Jimenz,4569,,JULY,B,5809,,5851,Caahvalho,1957,5851,5401,"1 Kinloch Road, Waterside, Aberdeenshire",John,Flores,Ramirez,4,,Ramirez,5851,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Crofts Court, Ninewells North Lodge, Scottish Borders",4402,,5401,16,Elizabeth,17,SCHOLAR,Jack,TAILOR,James,4569,1878, ,Jimenez,Mary,5809,Isabella,4704,Portree Highland,5809,SCHOLAR,S,4402,4704
Petrov,5949,,FEBRUARY,B,5814,,5951,Elizabeth,1957,5951,4569,"1 Beechwood Crescent, Greenhead, Wishaw",Petrov,,Jimenez,9,,Jimenez,5951,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Kinloch Road, Waterside, Aberdeenshire",4704,,4569,26,Irem,16,WORKER IN PAPER MILL,John,COAL MINER,Oliver,5949,1879,FARMER'S SON,Arttu,Flores,5814,Mary,5950,Allanbank Lauder ,5814,SCHOLAR,S,4704,5950
Greco,4232,,SEPTEMBER,B,5820,,5537,Rose,1957,5537,4945,"1 Ramsay Terrace, Tillicoultry, Clackmannanshire",Greco,Hansen,Wozniak,7,,Wozniak,5537,SYNTHETIC DATA PRODUCED USING VALIPOP,"32 Gordon Brown Place, Highland",4950,,4945,25,Mary,17,COAL MERCHANT,Michael,COOPER & COW FEEDER,Laurence,4232,1880,ROYAL NAVY,John,Watanabe,5820,Christina,4528,Kincorth Aberdeen City,5820,SCHOLAR,S,4950,4528
Muratovic,5111,,AUGUST,B,5394,,5263,Jane,1958,5263,4733,"43 Duntaylor Avenue, Aberfeldy, Perth and Kinross",Muratovic,Hansen,Wozniak,11,,Wozniak,5263,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Station Park, East Meetings, Fife",4664,,4733,32,Christina,29,IRONSTONE MINER,Neil,COACH MAKER,Peter,5111,1887,WAREHOUSEMAN GENERAL DRAPER,Bence,Soto,5394,Agnes,4340,Braeleny Farm Stirling,5394,GAMEKEEPER'S WIFE,S,4664,4340
Huber,6214,,AUGUST,B,5504,,6216,Elizabeth,1958,6216,4569,"1 Regis Court, Barnton, City of Edinburgh",Huber,,Jimenez,22,,Jimenez,6216,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Kinloch Road, Waterside, Aberdeenshire",4704,,4569,31,Mathilde,24,SHEPHERD,John, ,Lars,6214,1889,FARMER'S SON,Clement,Flores,5504,Catherin,6215,Highland,5504,DOMESTIC SERVT,S,4704,6215
Dumitru,4493,,DECEMBER,B,6105,D,5715,Gomej,1958,5715,6100,"1 Frank Coutts Court, Scottish Borders",Dumitr7,Prochazka,Biton,7,,Biton,5715,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Frank Coutts Court, Scottish Borders",6101,,6100,24,Annie,21,PLOUGHMAN,William,BASKET MAKER (JOURNEYMAN),John,4493,1890,AG LAB,Malcolm,Giulia,6105,Giulia,4538,,6105,POWER LOOM WEAVER,S,6101,4538
Demir,4837,,JANUARY,B,5812,,5761,Amy,1958,5761,4563,"1 Nicol Place, Heatherknowe, Portlethen",Demir,Wozniak,Brown,3,,Brown,5761,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Castle Drive, South Ayrshire",4686,,4563,18,Margaret,16,SCHOLAR,William,LABORER DOCK,Lionel,4837,1892,LABOURER IN A BOATYARD,James,Smith,5812,Jemima,4982,The Lees Coldstream ,5812, ,S,4686,4982
Wozniak,4463,,FEBRUARY,B,5808,,5683,Jessie,1958,5683,4692,"2 Mallard Road, Aberdeenshire",Wozniak,Pena,Smith,27,,Smith,5683,SYNTHETIC DATA PRODUCED USING VALIPOP,"3 Grubbit Mill, Scottish Borders",4396,,4692,21,Bridget,17,FARM MANAGER OF 150 ACRES EMPLOYING 7 LABOURERS & 3 FEMALES,Hugo,AG LABOURER,John,4463,1893,TAILOR (JOURNEYMAN),David,Nguyen,5808,Mary,4816,Girvan South Ayrshire,5808,SCHOLAR,S,4396,4816
Morozov,3153,,DECEMBER,B,3124,,3159,Olivia,1865,3159,3122,"1 Hill Park, Haugh, Highland",Morozov,,Zielinski,28,,Zielinski,3159,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Gasclune Gardens, North Berwick, East Lothian",3123,,3122,31,Irena,36,DOCK PORTER,Fabio, ,Daniel,3153,870, ,William,Ivanovic,3124,Emily,3154,Aberdeenshire,3124, ,S,3123,3154
