ID,day,month,year,place of marriage,forename of groom,surname of groom,occupation of groom,marital status of groom,age of groom,address of groom,forename of bride,surname of bride,occupation of bride,marital status of bride,age of bride,address of bride,groom's father's forename,groom's father's surname,groom's father's occupation,if groom's father deceased,groom's mother's forename,groom's mother's maiden surname,if groom's mother deceased,bride's father's forename,bride's father's surname,bride's father's occupation,if bride's father deceased,bride's mother's forename,bride's mother's maiden surname,if bride's mother deceased,notes1,gdeath,bdeath,GROOM_IDENTITY,BRIDE_IDENTITY,GROOM_MOTHER_IDENTITY,GROOM_FATHER_IDENTITY,BRIDE_MOTHER_IDENTITY,BRIDE_FATHER_IDENTITY,GROOM_BIRTH_RECORD_IDENTITY,BRIDE_BIRTH_RECORD_IDENTITY,GROOM_FATHER_BIRTH_RECORD_IDENTITY,GROOM_MOTHER_BIRTH_RECORD_IDENTITY,BRIDE_FATHER_BIRTH_RECORD_IDENTITY,BRIDE_MOTHER_BIRTH_RECORD_IDENTITY
1738,10,SEPTEMBER,1948,"Heugh Scottish Borders",Adam,Visser,SCHOLAR,B,19,"1 Carronhall Drive, Baillieston, Glasgow City",Charlotte,De Vries,SCHOLAR,S,16,"1 Farnell Way, Bellyeoman, Dunfermline",Alexr,Visser,PLOWMAN,,Chiara,Johnson,,Juho,De Vries,STONE BREAKER,,Lea,Davis,,SYNTHETIC DATA PRODUCED USING VALIPOP,5337,5452,5337,5452,5118,4289,5188,5187,5337,5452,4289,5118,5187,5188
1746,10,FEBRUARY,1949,"Na h-Eileanan Siar",Thomas,Hernandez,JOINER,B,20,"1 Big Sand Road, Highland",Michela,Savic,DRESSMAKER,S,22,"480 Braal Castle Road, Caithness",Thomas,Hernandez,LABOURER AGRICULT,,Catherine,Kiss,,Peter,Savic,FARMER OF 80 ACRES,,Laura,de Boer,,SYNTHETIC DATA PRODUCED USING VALIPOP,5199,5436,5199,5436,3944,3933,5433,5432,5199,5436,3933,3944,5432,5433
1747,23,APRIL,1949,"Clackmannanshire",James,Brown,SEAMAN,B,45,"1 Calfward Park, Allanbank, Lauder",Jane,Soto,MUSLIN VEINER,S,23,"1 Burial Brae, Anstruther Easter, Anstruther",John,Brown,LABOURER,,Noemie,Iliev,,George,Soto,LABOURER,,Annie,Jones,,SYNTHETIC DATA PRODUCED USING VALIPOP,4425,5208,4425,5208,4305,3497,4196,4311,4425,5208,3497,4305,4311,4196
1748,7,AUGUST,1949,"Lanark South Lanarkshire",Lawrence,Visser,SHOE MAKER,B,21,"1 Golf Course Road, Girvan, South Ayrshire",Freja,Martinez,OUT WORKER,S,21,"99 Anchor Crescent, Seedhill, Paisley",James,Visser,WOOLEN WEAVER,,Margaret,Andersson,,Jon,Martinez,STEAMBOAT MASTER,,Irena,Guo,,SYNTHETIC DATA PRODUCED USING VALIPOP,5303,5472,5303,5472,4420,4195,5471,5470,5303,5472,4195,4420,5470,5471
1750,6,MAY,1949,"South Ayrshire",John,Krajnc,SCHOLAR,B,20,"1 Allanbank, Lauder, Scottish Borders",Emily,Zhang,SCULLERY MAID,S,21,"158 Heights of Woodside, Westhill, Highland",Tobias,Krajnc,GROCER,,Elizabeth,Santana,,Lorenzo,Zhang,PLOUGHMAN'S SON,,Susana,,,SYNTHETIC DATA PRODUCED USING VALIPOP,5381,5692,5381,5692,4314,4474,5691,5690,5381,5692,4474,4314,5690,5691
1751,16,APRIL,1949,"Highland",George,Iliev,SCHOLAR,B,20,"3 Pairc Uilleim, Highland",Isabella,Moreau, ,S,20,"1 Silberg Drive, Buckie, Moray",Patrick,Iliev,WOOLLEN WEAVER,,Dorina,Morales,,Pedro,Moreau,GARDNER LABOURER,,Jemima,Mohamed,,SYNTHETIC DATA PRODUCED USING VALIPOP,5343,5338,5343,5338,4441,4304,4052,4611,5343,5338,4304,4441,4611,4052
1752,20,AUGUST,1949,"Lessudden House Scottish Borders",Alick,Greco,BLACKSMITH (JOURNEYMAN),B,28,"1 St John Street, Calton, Campbeltown",Elspet,De Vries,SCHOLAR,S,20,"1 Farnell Way, Bellyeoman, Dunfermline",James,Greco,PLOUGHMAN,,Mary,Kovacevic,,Juho,De Vries,STONE BREAKER,,Lea,Davis,,SYNTHETIC DATA PRODUCED USING VALIPOP,5027,5344,5027,5344,4162,4025,5188,5187,5027,5344,4025,4162,5187,5188
1753,9,MARCH,1949,"Wooden Scottish Borders",James,Sanchez,COAL MINER,B,22,"1 Gemmell Crescent, Braehead, Ayr",Catherine,Wozniak,SCHOLAR,S,16,"43 Ard Struan Road, Highland",Matthew,Sanchez,TAILOR,,Janet,Sepp,,Juan,Wozniak,AG IMP MAKER & BLACKSMITH EMP 20 MEN,,Mary,Paulauskas,,SYNTHETIC DATA PRODUCED USING VALIPOP,5247,5502,5247,5502,3836,3915,4618,4793,5247,5502,3915,3836,4793,4618
1754,22,MAY,1949,"Braeside Aberdeen City",James,Larsson,SOLDIER,B,28,"1 Heatherfield Post Office Road, Portree, Highland",Mary,Muratovic,SCHOLAR,S,17,"43 Duntaylor Avenue, Aberfeldy, Perth and Kinross",William,Larsson,RETIRED MERCHT,,Marie,Morales,,Bence,Muratovic,RETIRED GROCER,,Christina,Hansen,,SYNTHETIC DATA PRODUCED USING VALIPOP,5069,5492,5069,5492,4440,4117,4340,5111,5069,5492,4117,4440,5111,4340
1755,2,DECEMBER,1949,"Coplandhill Aberdeenshire",Robert,de Boer,F SERVT,B,27,"2 Pairc Uilleim, Highland",Mary,Larsson,NURSE (DOMESTIC SERV),S,16,"1 Col Bheinn Road, Brora, Highland",Andrew,de Boer,AG LAB,,Jane,Prochazka,,Alexander,Larsson,SCHOOLMASTER,,Irena,Savic,,SYNTHETIC DATA PRODUCED USING VALIPOP,5035,5506,5035,5506,4258,4125,5441,4629,5035,5506,4125,4258,4629,5441
1756,28,APRIL,1949,"Haughead Scottish Borders",James,Williams,RIVETTER,B,29,"257 Sauchenbush Road, Templehall, Kirkcaldy",Mary,Dumitru,SCHOLAR,S,18,"734 Golf Course Road, Girvan, South Ayrshire",Matheus,Williams,TAILOR,,Krystyna,Tremblay,,Malcolm,Dumitru,BASKET MAKER (JOURNEYMAN),,Annie,Prochazka,,SYNTHETIC DATA PRODUCED USING VALIPOP,5010,5500,5010,5500,4548,4547,4538,4493,5010,5500,4547,4548,4493,4538
1761,4,JUNE,1950,"Highland",William,Harutyunyan,GLASSBLOWER,B,23,"1 Great Western Court, Buckie, Moray",Maggie,Hernandez,DAIRYMAID,S,25,"1 Big Sand Road, Highland",John,Harutyunyan,LABOURER,,Margory,Rivera,,Thomas,Hernandez,SHIP CARPENTER,,Catherine,Kiss,,SYNTHETIC DATA PRODUCED USING VALIPOP,5245,5170,5245,5170,3760,3755,3944,3933,5245,5170,3755,3760,3933,3944
1762,15,DECEMBER,1950,"Na h-Eileanan Siar",David,Savic,JOURNEYMAN TAILOR,B,28,"480 Braal Castle Road, Caithness",Ann,Szabo,DOMESTIC SERVANT,S,26,"1 Braehouse, Scottish Borders",Peter,Savic,FARMER OF 80 ACRES,,Laura,de Boer,,William,Szabo,GARDENER,,Leah,Varga,,SYNTHETIC DATA PRODUCED USING VALIPOP,5437,5168,5437,5168,5433,5432,4580,3963,5437,5168,5432,5433,3963,4580
1763,9,MAY,1950,"Scottish Borders",Andrew,Schroeder,SHIP CARPENTER,B,22,"172 Dailly Road, Maybole, South Ayrshire",Mary,Szabo,SCHOLAR,S,19,"1 Braehouse, Scottish Borders",William,Schroeder,ROAD LAB,,Margaret,Visser,,William,Szabo,GARDENER,,Leah,Varga,,SYNTHETIC DATA PRODUCED USING VALIPOP,5221,5332,5221,5332,4496,4339,4580,3963,5221,5332,4339,4496,3963,4580
1764,14,FEBRUARY,1950,"North Ayrshire",James,Prochazka,AG LAB,B,29,"1 The Grange, Scottish Borders",Agnes,Szabo,SCHOLAR,S,20,"2 Grubbit Mill, Scottish Borders",John,Prochazka,MASON (JOUR),,Ellen,Schroeder,,James,Szabo,TAILOR,,Isabella,Visser,,SYNTHETIC DATA PRODUCED USING VALIPOP,4985,5386,4985,5386,4188,4087,4428,4187,4985,5386,4087,4188,4187,4428
1765,17,OCTOBER,1950,"Scaurs Jedburgh ",James,De Vries,A B SEAMAN,B,22,"1 Farnell Way, Bellyeoman, Dunfermline",Catherine,Markovic,SCHOLAR,S,19,"46 Stewart Place, East Ayrshire",Juho,De Vries,STONE BREAKER,,Lea,Davis,,Markus,Markovic,PAVIOUR,,Lillas,Garcia,,SYNTHETIC DATA PRODUCED USING VALIPOP,5345,5454,5345,5454,5188,5187,4284,4755,5345,5454,5187,5188,4755,4284
1766,27,MAY,1950,"Scaurs Jedburgh ",Charles,Tkachenko,MINER,B,22,"2 Carr Crescent, Crail, Fife",Isabella,Dumitru,SCHOLAR,S,17,"2 Ailsa Place, Girvan, South Ayrshire",Tiago,Tkachenko,MASON,,Jane,Sanchez,,Robert,Dumitru,PLOUGHMAN,,Marion,Larsson,,SYNTHETIC DATA PRODUCED USING VALIPOP,5251,5450,5251,5450,4094,4037,4132,4225,5251,5450,4037,4094,4225,4132
1767,20,OCTOBER,1950,"Elrig Dumfries and Galloway",Benjamin,Schroeder, ,B,18,"172 Dailly Road, Maybole, South Ayrshire",Elspet,Szabo,SCHOLAR,S,17,"2 Prestonfield Road, Annan, Dumfries and Galloway",William,Schroeder,ROAD LAB,,Margaret,Visser,,Alfred,Szabo,CARTER,,Manon,Grigoryan,,SYNTHETIC DATA PRODUCED USING VALIPOP,5465,5494,5465,5494,4496,4339,4721,3969,5465,5494,4339,4496,3969,4721
1769,27,JANUARY,1950,"Cornton Stirling",Alexander,Rojas,SCHOLAR,B,17,"1 Selvage Place, Rosyth, Fife",Leire,Rossi, ,S,17,"1 Broadsea, Fraserburgh, Aberdeenshire",Alexander,Rojas,COTTON YARN TWISTER,,Maria,Bouchard,,Victor,Rossi, ,,Mary Anne,Martinez,,SYNTHETIC DATA PRODUCED USING VALIPOP,5801,6068,5801,6068,5799,5798,6063,6062,5801,6068,5798,5799,6062,6063
1770,20,FEBRUARY,1950,,James,Kovacevic,JOINER,B,23,"1 Cherry Drive, Girvan, South Ayrshire",Laia,Rossi,SCHOLAR,S,18,"1 Cherry Drive, Girvan, South Ayrshire",Robert,Kovacevic,FIREMAN LEITH GLASS WORKS,,Janet,Bonik,,Victor,Rossi, ,,Mary Anne,Martinez,,SYNTHETIC DATA PRODUCED USING VALIPOP,5459,6065,5459,6065,4422,4310,6063,6062,5459,6065,4310,4422,6062,6063
1771,27,JANUARY,1950,"Middle Grange Aberdeenshire",Donald,Grigoryan,WOOL STOCKING FRAME WORK KNITTER,B,26,"3 Cille Bha 'Nain, Buailledubh, Na h-Eileanan Siar",Anna,Andersson, ,S,16,"97 St Fillans Road, St Mary's, Dundee City",Yusuf,Grigoryan,CARTER,,Hellen,Kovacevic,,Bence,Andersson, ,,Ugne,Hernandez,,SYNTHETIC DATA PRODUCED USING VALIPOP,5249,5833,5249,5833,3972,4725,5832,5831,5249,5833,4725,3972,5831,5832
1778,3,MARCH,1951,,John,Schmidt,CATTLE DEALER,?,36,"1 Melville Street, Muirton, Perth and Kinross",Katie,Gauthier, ,S,33,"1 Panbride Road, Batties Den, Angus",Thomas,Schmidt,PT SOLDIER 92ND HIGHLANDERS,,Agnes,Rodriguez,,Aaron,Gauthier,COTTAR,,Anna,Dimitrov,,SYNTHETIC DATA PRODUCED USING VALIPOP,4909,5359,4909,5359,4198,3939,5357,5356,4909,5359,3939,4198,5356,5357
1779,24,FEBRUARY,1951,"Braehouse Scottish Borders",Mustafa,Babic,HAWKER,B,26,"1 Cromalt Avenue, East Kilbride, South Lanarkshire",Terresa,Larsson,WINDER,S,22,"1 Ceann An Ora, Na h-Eileanan Siar",Mikel,Babic, ,,Constanza,,,James,Larsson,STARCH MAKER,,Marie,Sanchez,,SYNTHETIC DATA PRODUCED USING VALIPOP,5658,5286,5658,5286,5657,5656,4107,3321,5658,5286,5656,5657,3321,4107
1780,19,NOVEMBER,1951,"Buailledubh Na h-Eileanan Siar",James,Soto,COAL MINER,B,33,"1 Millhill Road, Perth and Kinross",Janet,Kovacevic,GARDENER'S DAUR,S,23,"1 Dales View Drive, Meethill, Peterhead",John,Soto,STONE MASON,,Regina,Williams,,James,Kovacevic,SHOEMAKER,,Isabella,Flores,,SYNTHETIC DATA PRODUCED USING VALIPOP,4901,5290,4901,5290,4379,3595,4126,4063,4901,5290,3595,4379,4063,4126
1781,25,JANUARY,1951,"Cleekhimin North Lanarkshire",David,Kovacevic, ,B,17,"1 Peelnick, Scottish Borders",Christian,Ramirez,SCHOLAR,S,18,"1 Craiglockhart Gardens, Craiglockhart, City of Edinburgh",Robert,Kovacevic,FIREMAN LEITH GLASS WORKS,,Janet,Bonik,,Jack,Ramirez,COAL MINER,,Aada,Robinson,,SYNTHETIC DATA PRODUCED USING VALIPOP,5497,5462,5497,5462,4422,4310,5402,5401,5497,5462,4310,4422,5401,5402
1782,25,JUNE,1951,"Drumbeg Stirling",Aaron,Ramirez,COOPERS APPRENTICE,B,22,"1 Craiglockhart Gardens, Craiglockhart, City of Edinburgh",Janet,Brown,SCHOLAR,S,17,"1 Piedmont Road, Girvan, South Ayrshire",Jack,Ramirez,COAL MINER,,Aada,Robinson,,Thomas,Brown,FISHERMAN,,Margaret,Smith,,SYNTHETIC DATA PRODUCED USING VALIPOP,5404,5458,5404,5458,5402,5401,4390,4363,5404,5458,5401,5402,4363,4390
1783,13,DECEMBER,1951,"Three Bridges Inveraray ",James,Morozov,DRUGGIST EMPLOYING 6 ASSISTS,B,40,"2 Cille Bha 'Nain, Buailledubh, Na h-Eileanan Siar",Jane,Bonik,WORKER IN PRINTWORK,S,18,"1 Torrie Wyne, Fife",James,Morozov,AG LABOURER,,Lilly,Paulauskas,,Archd,Bonik,CARTER,,Barbara,Soto,,SYNTHETIC DATA PRODUCED USING VALIPOP,4627,5466,4627,5466,3650,3665,4500,4331,4627,5466,3665,3650,4331,4500
1784,19,MAY,1951,"Weensmoore Scottish Borders",Alex,Garcia,CLOTH MERCHANT,B,20,"1591 Castle Road, South Ayrshire",Mary,Tkachenko,SCHOLAR,S,16,"2 Milton Wynd, South Ayrshire",James,Garcia,COAL MINER,,Mary,Bonik,,John,Tkachenko,IRON MINER,,Irena,Savic,,SYNTHETIC DATA PRODUCED USING VALIPOP,5455,5642,5455,5642,4288,4263,5441,4571,5455,5642,4263,4288,4571,5441
1785,6,SEPTEMBER,1951,"North Ayrshire",Francis,Visser,PLOUGHMAN,B,21,"1 Golf Course Road, Girvan, South Ayrshire",Bridget,Smith,SCHOLAR,S,16,"3 Grubbit Mill, Scottish Borders",James,Visser,WOOLEN WEAVER,,Margaret,Andersson,,Hugo,Smith,TAILOR (JOURNEYMAN),,Jessie,Nguyen,,SYNTHETIC DATA PRODUCED USING VALIPOP,5425,5668,5425,5668,4420,4195,4396,4692,5425,5668,4195,4420,4692,4396
1786,4,SEPTEMBER,1951,"Allanbank Lauder ",James,Jansen,SCHOLAR,B,19,"1 Langside Court, Kirkfield, Bothwell",Mary,Tkachenko,SCHOLAR,S,16,"2 Haughead, Scottish Borders",Alejandro,Jansen,COTTON WEAVER,,Sofie,Becker,,Peter,Tkachenko,LABOURER,,Betsy,Sanchez,,SYNTHETIC DATA PRODUCED USING VALIPOP,5560,5676,5560,5676,5559,5558,4670,4537,5560,5676,5558,5559,4537,4670
1787,14,OCTOBER,1951,"Na h-Eileanan Siar",George,Wozniak,MASON,B,27,"1 St Nathans Road, Aberdeenshire",Jemima,Nguyen,SCHOLAR,S,16,"92 The Green, East Lothian",William,Wozniak,LABOURER,,Martha,Larsson,,William,Nguyen,GROCER & DRYSALTER,,Sarah,Tran,,SYNTHETIC DATA PRODUCED USING VALIPOP,5253,5672,5253,5672,4096,4095,4581,4427,5253,5672,4095,4096,4427,4581
1794,18,OCTOBER,1952,"Aberdeenshire",Charles,Greco,COMMERCIAL CLERK (PUBLISHERS),B,22,"1 Ramsay Terrace, Tillicoultry, Clackmannanshire",Helen,Andersson,GENERAL SERV,S,25,"2 Rha Bank, Highland",John,Greco,LABOURER (ALUM WORK),,Mary,Hansen,,John,Andersson,AG LAB,,Ann,Prochazka,,SYNTHETIC DATA PRODUCED USING VALIPOP,5429,5254,5429,5254,4528,4232,4158,4197,5429,5254,4232,4528,4197,4158
1795,28,JUNE,1952,"Aberdeenshire",Hugh,Bonik,WOOL SPINNER,B,27,"1 Carngour, St Andrews, Fife",Mary,de Boer,PREPARER OF CLOTH,S,26,"2 Pairc Uilleim, Highland",James,Bonik,SHOEMAKER & CROFTER OF 7 ACRES,,Janet,Santos,,Andrew,de Boer,AG LAB,,Jane,Prochazka,,SYNTHETIC DATA PRODUCED USING VALIPOP,5213,5258,5213,5258,4330,4265,4258,4125,5213,5258,4265,4330,4125,4258
1797,19,DECEMBER,1952,"Highland",Joseph,Bonik,STUDENT OF MED OF EDINBRO,B,28,"1 Milton Wynd, South Ayrshire",Isabella,Petrauskas,SHOP KEEPER,D,23,"68 Greystone Place, Aberdeenshire",Walter,Bonik,GRAIN MERCHANT EMPLOYING ONE MAN,,Mary,Garcia,,Donald,Petrauskas,CATTLE MAN,,Jeanie,Szabo,,SYNTHETIC DATA PRODUCED USING VALIPOP,5123,5330,5123,5330,3712,3669,3872,4021,5123,5330,3669,3712,4021,3872
1799,6,NOVEMBER,1952,"Southfield Scottish Borders",John,Visser,COOPER,B,26,"1 Golf Course Road, Girvan, South Ayrshire",Margret,Larsson,FACTORY SERVANT FLAX,S,21,"2 Cora Linn Court, North Ayrshire",James,Visser,WOOLEN WEAVER,,Margaret,Andersson,,William,Larsson,HOUSE PAINTER (MASTER),,Elizabeth,Dumitru,,SYNTHETIC DATA PRODUCED USING VALIPOP,5219,5420,5219,5420,4420,4195,4318,4403,5219,5420,4195,4420,4403,4318
1800,12,AUGUST,1952,"Highland",David,Kovacevic,SCHOLAR,B,18,"1 Dales View Drive, Meethill, Peterhead",Janet,Markovic,SCHOLAR,S,17,"46 Stewart Place, East Ayrshire",James,Kovacevic,SHOEMAKER,,Isabella,Flores,,Markus,Markovic,PAVIOUR,,Lillas,Garcia,,SYNTHETIC DATA PRODUCED USING VALIPOP,5451,5530,5451,5530,4126,4063,4284,4755,5451,5530,4063,4126,4755,4284
1801,11,FEBRUARY,1952,"Masterton Dunfermline ",Willi,Larsson,SCHOLAR,B,19,"1 Col Bheinn Road, Brora, Highland",Hannah,Tasev,SCHOLAR,S,16,"1 Endrick Way, Drumbeg, Stirling",Alexander,Larsson,WOOLER WEAVER,,Irena,Savic,,Joshua,Tasev,AG LAB FARMING 6 AC LAB,,Rose,Garcia,,SYNTHETIC DATA PRODUCED USING VALIPOP,5547,5682,5547,5682,5441,4629,4806,5081,5547,5682,4629,5441,5081,4806
1802,16,NOVEMBER,1952,"Wooden Scottish Borders",David,Jones,SCHOLAR,B,16,"2 Hartrigge Road, Scaurs, Jedburgh",Martha,Hojgaard,AT SCHOOL,S,17,"13 Kinneil Park, Croc, North Ayrshire",David,Jones,AG LAB,,Annie,Paulauskas,,Laurence,Hojgaard,SEAMAN (MERCHT SERVICE),,Helen,Prochazka,,SYNTHETIC DATA PRODUCED USING VALIPOP,5705,5724,5705,5724,4152,3615,4782,4741,5705,5724,3615,4152,4741,4782
1803,4,FEBRUARY,1952,,Alex,Prochazka,LABOURER,B,23,"1 Murray Square, Highland",Janet,Muratovic,SCHOLAR,S,17,"1 Murray Square, Highland",Robert,Prochazka,BRICKLAYER,,Isabella,Schroeder,,Pedro,Muratovic,DRY STONE DYKE BUILDER,,Mary,Iliev,,SYNTHETIC DATA PRODUCED USING VALIPOP,5501,5762,5501,5762,4566,4283,4984,5109,5501,5762,4283,4566,5109,4984
1804,30,APRIL,1952,"Girvan South Ayrshire",Hugh,Szabo,FISHERMAN,B,28,"1 Loch Park Road, Target Stables, Hawick",Camille,White,SCHOLAR,S,16,"67 Baile na Cille, Na h-Eileanan Siar",John,Szabo,SILK MERCER,,Jane,WILLIAMS,,Tobias,White,WEAVER (COTTON),,Ella,Lopez,,SYNTHETIC DATA PRODUCED USING VALIPOP,5217,5942,5217,5942,4336,4183,5941,5940,5217,5942,4183,4336,5940,5941
1809,28,APRIL,1953,"Aberdeenshire",David,Iliev,SCHOLAR,B,18,"3 Pairc Uilleim, Highland",Lisa,Jansen, ,S,32,"1 Langside Court, Kirkfield, Bothwell",Patrick,Iliev,RETIRED SERV,,Dorina,Morales,,Alejandro,Jansen,COTTON WEAVER,,Sofie,Becker,,SYNTHETIC DATA PRODUCED USING VALIPOP,5572,5564,5572,5564,4441,4304,5559,5558,5572,5564,4304,4441,5558,5559
1810,11,MARCH,1953,"Dalry North Ayrshire",Thijs,Sahin, ,B,29,"1 Cowdenknowes House, Scottish Borders",Mary,Santos,BASKET H BEEHIVE MAKERS DAUR,S,32,"1 Meadows Place, Lochgilphead, Argyll and Bute",David,Sahin, ,,Sara,,,Louis,Santos,RAILWAY LABOURER,,Catherine,Prochazka,,SYNTHETIC DATA PRODUCED USING VALIPOP,6137,5024,6137,5024,6136,6135,4026,4011,6137,5024,6135,6136,4011,4026
1811,25,APRIL,1953,"Belhaven Dunbar ",Jacob,Krajnc,UNDERTAKER,B,24,"100 Seton Place, Dalgety Bay, Fife",Margaret,Hernandez,PAPER STAINER,S,26,"1 Home Farm Place, Portree, Highland",Vytautas,Krajnc,TAILOR,,Mary,Visser,,William,Hernandez,AG LAB,,Louise,Soto,,SYNTHETIC DATA PRODUCED USING VALIPOP,5333,5250,5333,5250,4006,4477,4028,3905,5333,5250,4477,4006,3905,4028
1815,28,SEPTEMBER,1953,"Aberdeenshire",William,Maisuradze,SCHOLAR,B,20,"1 Fullarton Avenue, South Ayrshire",Elizabeth,Soto,TENANT'S DAUGHTER,S,20,"1 Pairc Uilleim, Highland",Alexr,Maisuradze,LABOURER,,Jessie,Nguyen,,James,Soto,COOPER,,Elzbieta,Juric,,SYNTHETIC DATA PRODUCED USING VALIPOP,5545,5524,5545,5524,4658,4673,4680,3937,5545,5524,4673,4658,3937,4680
1816,26,AUGUST,1953,"Hillpark Bannockburn ",James,Bonik,CALICO PRINTER,B,27,"1 Torrie Wyne, Fife",Elizabeth,Brown,SCHOLAR,S,20,"1 Merrick Terrace, Dumfries and Galloway",Archd,Bonik,FISHERMAN,,Barbara,Soto,,Andrew,Brown,SHOEMAKER,,Isabella,Larsson,,SYNTHETIC DATA PRODUCED USING VALIPOP,5269,5544,5269,5544,4500,4331,4662,4675,5269,5544,4331,4500,4675,4662
1817,26,NOVEMBER,1953,"South Ayrshire",William,Jones,SMITH'S SON,B,20,"1 Jean Lawrie Court, Lessudden House, Scottish Borders",Cathrine,De Vries,SCHOLAR,S,16,"1 Lagrannoch Drive, Braeleny Farm, Stirling",Frances,Jones,AG LAB & ARTY PENSIONER,,Christina,Harutyunyan,,Viktor,De Vries,DELF DEALER,,Maria,Savic,,SYNTHETIC DATA PRODUCED USING VALIPOP,5597,5758,5597,5758,4738,4163,5439,5193,5597,5758,4163,4738,5193,5439
1818,29,MARCH,1953,"Stotfield Lossiemouth ",James,Pena,AG LAB,B,37,"41 Ard Struan Road, Highland",Mary,Wozniak,SCHOLAR,S,16,"3 Ceann An Ora, Na h-Eileanan Siar",Simon,Pena,TAILOR,,Mary,Kovacevic,,David,Wozniak,GENERAL LABOURER,,Grace,Harutyunyan,,SYNTHETIC DATA PRODUCED USING VALIPOP,4905,5760,4905,5760,4098,4411,4934,4665,4905,5760,4411,4098,4665,4934
1824,28,JUNE,1954,,Thomas,Grigoryan,BOOK KEEPER TO VENETIAN BLIND MAKER,D,37,"2 Coplandhill, Aberdeenshire",Marion,Mohamed,GROSER & SPIRIT DEALER,S,31,"1 Woodland Park, Highland",Yusuf,Grigoryan,FORMERLY MASON'S LABOURER,,Hellen,Kovacevic,,Andrew,Mohamed,LAB,,Irena,Harris,,SYNTHETIC DATA PRODUCED USING VALIPOP,4977,5248,4977,5248,3972,4725,4347,4059,4977,5248,4725,3972,4059,4347
1826,11,JANUARY,1954,"Belhaven East Lothian",Jacob,Gauthier,SILK & WOOLEN WEAVER,B,36,"1 Dee Terrace, Little Earnock, South Lanarkshire",Margaret,Markovic,DOMESTIC SERV,S,21,"1 Jones Street, Fife",Aaron,Gauthier,COTTAR,,Anna,Dimitrov,,Emre,Markovic,DRAPER,,Catherine,Bonik,,SYNTHETIC DATA PRODUCED USING VALIPOP,5361,5464,5361,5464,5357,5356,4492,4757,5361,5464,5356,5357,4757,4492
1827,13,APRIL,1954,"Stewarton East Ayrshire",James,Demir,ARCHITECT'S ASSISTANT,B,23,"146 Brownsmuir Park, Harryburn House, Lauder",Mary,Dumitru, ,W,24,"2 Haughead, Scottish Borders",John,Demir,LABORER,,Aada,Popa,,Malcolm,Dumitru,BASKET MAKER (JOURNEYMAN),,Annie,Prochazka,,SYNTHETIC DATA PRODUCED USING VALIPOP,5529,5500,5529,5500,5005,4299,4538,4493,5529,5500,4299,5005,4493,4538
1828,16,AUGUST,1954,"Hillpark Bannockburn ",Ren,Rojas,SCHOLAR,B,19,"1 Selvage Place, Rosyth, Fife",Elspeth,Kuznetsov,SCHOLAR,S,18,"2 Mansefield, Auchreoch, Stirling",Alexander,Rojas,COTTON YARN TWISTER,,Maria,Bouchard,,Ethan,Kuznetsov,CARTER,,Mary,Jones,,SYNTHETIC DATA PRODUCED USING VALIPOP,5802,5528,5802,5528,5799,5798,4292,4884,5802,5528,5798,5799,4884,4292
1829,20,FEBRUARY,1954,"Berryhill Strathaven ",James,Bonik,HAIRDRESSER,B,24,"1 Torrie Wyne, Fife",Annie,Grigoryan,DOMESTIC SERV GIRLS,S,19,"1 South Street, Lodge, Scottish Borders",Archd,Bonik,FISHERMAN,,Barbara,Soto,,Luca,Grigoryan,PLOUGHMAN,,Agnieszka,White,,SYNTHETIC DATA PRODUCED USING VALIPOP,5353,5526,5353,5526,4500,4331,4924,4723,5353,5526,4331,4500,4723,4924
1830,17,APRIL,1954,,Eetu,Wozniak, ,D,28,"1 Ridgeway Grove, Bridge of Don, Aberdeen City",Marion,Jansen,DOMESTIC SERVANT,S,21,"39 Redmire Crescent, Heatherknowe, Portlethen",Julian,Wozniak, ,,Mathilde,,,Alejandro,Jansen,PLOUGHMAN,,Sofie,Becker,,SYNTHETIC DATA PRODUCED USING VALIPOP,6328,5630,6328,5630,6327,6326,5559,5558,6328,5630,6326,6327,5558,5559
1838,28,AUGUST,1955,"Dumfries and Galloway",Robert,Szabo,BREWERY CLERK,B,30,"2 Prestonfield Road, Annan, Dumfries and Galloway",Grace,de Boer,WINDER,S,30,"2 Pairc Uilleim, Highland",Alfred,Szabo,CARTER,,Manon,Grigoryan,,Andrew,de Boer,JOINER,,Jane,Prochazka,,SYNTHETIC DATA PRODUCED USING VALIPOP,5215,5182,5215,5182,4721,3969,4258,4125,5215,5182,3969,4721,4125,4258
1839,27,AUGUST,1955,"Dalry North Ayrshire",John,Greco,BLACKSMITH'S,B,21,"1 Ramsay Terrace, Tillicoultry, Clackmannanshire",Laura,Jansen,POWER LOOM COTTON WEAVER,W,27,"1 Gowanlea, The Lees, Coldstream",John,Greco,LABOURER (ALUM WORK),,Mary,Hansen,,Alejandro,Jansen,PLOUGHMAN,,Sofie,Becker,,SYNTHETIC DATA PRODUCED USING VALIPOP,5593,5561,5593,5561,4528,4232,5559,5558,5593,5561,4232,4528,5558,5559
